age,workclass,occupation,hours.per.week,income,age_groups,Education Level
64,State-gov,Adm-clerical,40,<=50K,61-70,College Level
32,Private,Exec-managerial,40,>50K,31-40,College Level
31,Private,Adm-clerical,40,<=50K,31-40,College Level
36,Private,Sales,50,>50K,31-40,Associate
21,Private,Other-service,50,<=50K,17-20,School Level
30,Private,Craft-repair,40,<=50K,21-30,College Level
31,Private,Other-service,40,<=50K,31-40,Associate
59,Local-gov,Other-service,40,<=50K,51-60,School Level
28,Local-gov,Prof-specialty,20,>50K,21-30,Masters
57,Private,Adm-clerical,40,<=50K,51-60,School Level
44,Private,Craft-repair,45,<=50K,41-50,School Level
53,Self-emp-inc,Exec-managerial,60,<=50K,51-60,College Level
58,Self-emp-not-inc,Exec-managerial,60,>50K,51-60,College Level
19,Private,Other-service,20,<=50K,17-20,College Level
39,Self-emp-inc,Exec-managerial,50,>50K,31-40,Associate
31,Self-emp-inc,Exec-managerial,70,<=50K,31-40,College Level
27,Private,Craft-repair,40,<=50K,21-30,School Level
46,Local-gov,Other-service,40,<=50K,41-50,School Level
37,Self-emp-not-inc,Exec-managerial,40,<=50K,31-40,Masters
27,Private,Sales,40,<=50K,21-30,College Level
33,Private,Transport-moving,55,<=50K,31-40,College Level
20,Private,Other-service,16,<=50K,17-20,College Level
55,Private,Craft-repair,45,<=50K,51-60,School Level
39,Private,Sales,40,<=50K,31-40,Associate
41,Private,Other-service,40,<=50K,41-50,School Level
30,Private,Prof-specialty,40,<=50K,21-30,College Level
39,Self-emp-inc,Sales,40,<=50K,31-40,College Level
28,Private,Exec-managerial,50,<=50K,21-30,School Level
25,Private,Sales,24,<=50K,21-30,College Level
31,Private,Craft-repair,50,<=50K,31-40,School Level
51,Private,Transport-moving,60,<=50K,51-60,School Level
24,Private,Adm-clerical,40,<=50K,21-30,College Level
70,Private,Protective-serv,32,<=50K,61-70,School Level
23,Private,Adm-clerical,40,<=50K,21-30,College Level
61,Private,Exec-managerial,40,<=50K,61-70,School Level
45,Self-emp-not-inc,Exec-managerial,55,>50K,41-50,School Level
56,Private,Other-service,50,<=50K,51-60,College Level
20,Private,Adm-clerical,15,<=50K,17-20,College Level
30,Private,Craft-repair,40,<=50K,21-30,School Level
40,Private,Sales,40,>50K,31-40,College Level
58,Private,Craft-repair,40,>50K,51-60,School Level
71,Self-emp-not-inc,Farming-fishing,2,<=50K,71-80,College Level
50,Private,Prof-specialty,60,>50K,41-50,College Level
29,Local-gov,Exec-managerial,40,<=50K,21-30,College Level
60,State-gov,Protective-serv,40,>50K,51-60,School Level
33,Private,Adm-clerical,50,<=50K,31-40,Associate
33,Private,Handlers-cleaners,40,<=50K,31-40,School Level
33,Private,Adm-clerical,52,<=50K,31-40,School Level
32,State-gov,Protective-serv,45,<=50K,31-40,School Level
21,Private,Other-service,9,<=50K,17-20,College Level
38,Private,Prof-specialty,40,<=50K,31-40,School Level
38,Private,Adm-clerical,35,>50K,31-40,College Level
39,State-gov,Exec-managerial,30,<=50K,31-40,College Level
17,Private,Sales,15,<=50K,,School Level
21,Private,Adm-clerical,40,<=50K,17-20,College Level
42,Private,Tech-support,20,>50K,41-50,College Level
42,Private,Exec-managerial,40,>50K,41-50,School Level
36,Private,Other-service,40,<=50K,31-40,School Level
32,Private,Exec-managerial,50,>50K,31-40,College Level
37,Self-emp-not-inc,Prof-specialty,40,>50K,31-40,College Level
28,Private,Sales,40,<=50K,21-30,College Level
37,Private,Craft-repair,40,<=50K,31-40,Associate
50,Private,Prof-specialty,60,<=50K,41-50,School Level
49,Private,Craft-repair,40,<=50K,41-50,School Level
40,Private,Exec-managerial,40,>50K,31-40,Masters
40,Private,Other-service,40,<=50K,31-40,College Level
49,Private,Craft-repair,40,<=50K,41-50,College Level
33,Local-gov,Protective-serv,40,<=50K,31-40,School Level
24,Private,Craft-repair,40,<=50K,21-30,School Level
41,Private,Adm-clerical,40,<=50K,41-50,Masters
43,Private,Tech-support,40,>50K,41-50,College Level
84,Self-emp-not-inc,Farming-fishing,20,<=50K,81-90,College Level
23,Private,Sales,40,<=50K,21-30,School Level
41,Private,Prof-specialty,50,>50K,41-50,College Level
30,Self-emp-not-inc,Craft-repair,45,<=50K,21-30,College Level
46,Private,Adm-clerical,40,<=50K,41-50,Associate
34,Private,Adm-clerical,40,<=50K,31-40,College Level
54,Self-emp-not-inc,Sales,60,<=50K,51-60,Masters
27,Private,Adm-clerical,40,<=50K,21-30,College Level
52,Local-gov,Prof-specialty,40,>50K,51-60,Masters
25,Self-emp-not-inc,Prof-specialty,40,<=50K,21-30,School Level
52,Private,Exec-managerial,55,>50K,51-60,College Level
24,Private,Exec-managerial,50,<=50K,21-30,School Level
36,Private,Adm-clerical,40,<=50K,31-40,School Level
31,Private,Handlers-cleaners,40,<=50K,31-40,School Level
47,Private,Adm-clerical,35,<=50K,41-50,College Level
55,Self-emp-not-inc,Farming-fishing,50,<=50K,51-60,School Level
32,Private,Handlers-cleaners,35,<=50K,31-40,School Level
48,Private,Adm-clerical,40,<=50K,41-50,College Level
21,Private,Sales,35,<=50K,17-20,School Level
33,Private,Prof-specialty,40,<=50K,31-40,Associate
47,Private,Prof-specialty,40,<=50K,41-50,Associate
18,Private,Other-service,24,<=50K,17-20,School Level
44,Self-emp-inc,Craft-repair,60,>50K,41-50,School Level
23,Private,Craft-repair,37,<=50K,21-30,College Level
18,Private,Sales,35,<=50K,17-20,School Level
56,Private,Exec-managerial,50,<=50K,51-60,School Level
24,Private,Adm-clerical,35,<=50K,21-30,College Level
43,Private,Craft-repair,40,>50K,41-50,College Level
23,Private,Sales,60,<=50K,21-30,College Level
26,Private,Sales,42,<=50K,21-30,College Level
42,Private,Sales,40,<=50K,41-50,School Level
23,Private,Adm-clerical,40,<=50K,21-30,School Level
53,Self-emp-not-inc,Craft-repair,40,<=50K,51-60,School Level
40,Private,Other-service,25,<=50K,31-40,School Level
27,Private,Prof-specialty,50,<=50K,21-30,College Level
24,Local-gov,Protective-serv,60,<=50K,21-30,College Level
42,Private,Craft-repair,40,<=50K,41-50,School Level
41,Private,Adm-clerical,40,<=50K,41-50,School Level
23,Private,Handlers-cleaners,10,<=50K,21-30,College Level
42,Self-emp-not-inc,Prof-specialty,65,<=50K,41-50,Masters
38,Private,Craft-repair,40,>50K,31-40,School Level
63,Self-emp-not-inc,Farming-fishing,30,<=50K,61-70,School Level
31,Private,Craft-repair,40,<=50K,31-40,School Level
18,Self-emp-not-inc,Other-service,4,<=50K,17-20,School Level
21,Private,Other-service,30,<=50K,17-20,College Level
24,Private,Prof-specialty,40,<=50K,21-30,College Level
55,Private,Craft-repair,40,<=50K,51-60,College Level
31,Private,Sales,30,<=50K,31-40,College Level
23,Private,Adm-clerical,20,<=50K,21-30,College Level
35,Private,Craft-repair,40,<=50K,31-40,School Level
51,Self-emp-not-inc,Sales,60,<=50K,51-60,College Level
19,Private,Protective-serv,30,<=50K,17-20,College Level
38,Local-gov,Protective-serv,56,<=50K,31-40,School Level
70,Self-emp-not-inc,Prof-specialty,25,<=50K,61-70,College Level
53,Private,Craft-repair,40,<=50K,51-60,School Level
59,Private,Exec-managerial,40,>50K,51-60,Masters
39,Private,Transport-moving,43,<=50K,31-40,College Level
18,Private,Sales,20,<=50K,17-20,School Level
24,Private,Adm-clerical,40,<=50K,21-30,College Level
25,Private,Adm-clerical,38,<=50K,21-30,School Level
32,Private,Exec-managerial,40,<=50K,31-40,College Level
35,Private,Sales,40,<=50K,31-40,School Level
18,Private,Sales,20,<=50K,17-20,School Level
37,Private,Adm-clerical,42,<=50K,31-40,School Level
30,Private,Other-service,36,<=50K,21-30,College Level
22,Private,Prof-specialty,40,<=50K,21-30,School Level
50,Local-gov,Other-service,28,<=50K,41-50,College Level
70,Private,Other-service,23,<=50K,61-70,School Level
43,Private,Prof-specialty,40,>50K,41-50,Masters
77,Self-emp-not-inc,Craft-repair,40,<=50K,71-80,College Level
30,Self-emp-not-inc,Craft-repair,40,<=50K,21-30,School Level
33,Private,Machine-op-inspct,39,<=50K,31-40,College Level
22,Private,Adm-clerical,12,<=50K,21-30,College Level
33,Private,Transport-moving,40,<=50K,31-40,School Level
27,Private,Sales,40,<=50K,21-30,School Level
35,Private,Exec-managerial,60,<=50K,31-40,College Level
32,Private,Sales,55,<=50K,31-40,College Level
41,Private,Tech-support,25,>50K,41-50,College Level
37,Private,Craft-repair,40,<=50K,31-40,College Level
17,Private,Sales,15,<=50K,,School Level
50,Private,Exec-managerial,55,>50K,41-50,College Level
54,State-gov,Exec-managerial,38,<=50K,51-60,School Level
23,State-gov,Other-service,40,<=50K,21-30,School Level
40,Private,Adm-clerical,20,<=50K,31-40,College Level
30,Private,Exec-managerial,55,<=50K,21-30,Associate
20,Private,Sales,8,<=50K,17-20,College Level
43,Self-emp-not-inc,Farming-fishing,50,<=50K,41-50,College Level
25,Private,Tech-support,25,<=50K,21-30,College Level
39,Private,Sales,50,>50K,31-40,Masters
48,Private,Prof-specialty,50,>50K,41-50,Associate
41,Self-emp-not-inc,Other-service,40,<=50K,41-50,School Level
24,Private,Adm-clerical,30,<=50K,21-30,College Level
20,Private,Adm-clerical,40,<=50K,17-20,College Level
25,Private,Adm-clerical,40,<=50K,21-30,College Level
57,Private,Craft-repair,40,>50K,51-60,College Level
39,Private,Exec-managerial,35,>50K,31-40,College Level
66,Private,Prof-specialty,40,>50K,61-70,College Level
34,Private,Adm-clerical,40,<=50K,31-40,College Level
46,Private,Sales,40,<=50K,41-50,School Level
42,Local-gov,Prof-specialty,45,<=50K,41-50,Masters
34,Local-gov,Protective-serv,40,<=50K,31-40,School Level
43,Private,Tech-support,40,<=50K,41-50,College Level
42,Private,Exec-managerial,40,<=50K,41-50,College Level
31,Private,Sales,48,<=50K,31-40,College Level
32,Private,Exec-managerial,40,<=50K,31-40,College Level
46,Federal-gov,Adm-clerical,40,>50K,41-50,School Level
42,Self-emp-inc,Craft-repair,25,<=50K,41-50,School Level
21,Private,Exec-managerial,40,<=50K,17-20,Associate
24,Private,Sales,40,<=50K,21-30,College Level
23,Private,Sales,55,<=50K,21-30,School Level
37,Private,Adm-clerical,45,<=50K,31-40,College Level
44,Federal-gov,Craft-repair,40,>50K,41-50,Associate
29,Private,Transport-moving,40,<=50K,21-30,School Level
30,Private,Adm-clerical,24,<=50K,21-30,Associate
36,Private,Sales,44,<=50K,31-40,College Level
49,Self-emp-not-inc,Sales,45,<=50K,41-50,College Level
29,Private,Craft-repair,40,<=50K,21-30,School Level
45,Local-gov,Adm-clerical,40,<=50K,41-50,School Level
75,State-gov,Prof-specialty,20,>50K,71-80,Masters
37,Private,Exec-managerial,40,<=50K,31-40,Associate
51,Private,Machine-op-inspct,25,<=50K,51-60,College Level
61,Local-gov,Farming-fishing,48,<=50K,61-70,School Level
50,Local-gov,Adm-clerical,40,<=50K,41-50,School Level
59,Private,Machine-op-inspct,40,<=50K,51-60,School Level
25,Private,Adm-clerical,30,<=50K,21-30,School Level
22,Private,Handlers-cleaners,16,<=50K,21-30,School Level
56,Private,Transport-moving,40,>50K,51-60,College Level
44,Private,Adm-clerical,40,<=50K,41-50,College Level
35,Private,Craft-repair,50,<=50K,31-40,Associate
57,Private,Exec-managerial,40,<=50K,51-60,School Level
27,Private,Exec-managerial,40,<=50K,21-30,College Level
46,Private,Transport-moving,40,<=50K,41-50,School Level
48,Self-emp-inc,Prof-specialty,60,>50K,41-50,College Level
61,Private,Adm-clerical,40,>50K,61-70,College Level
40,Private,Other-service,40,<=50K,31-40,School Level
58,Self-emp-inc,Exec-managerial,65,>50K,51-60,College Level
35,Private,Prof-specialty,40,>50K,31-40,College Level
51,Self-emp-inc,Exec-managerial,50,<=50K,51-60,College Level
37,Private,Other-service,40,<=50K,31-40,School Level
41,Private,Craft-repair,54,<=50K,41-50,School Level
41,State-gov,Prof-specialty,48,>50K,41-50,College Level
37,Private,Priv-house-serv,16,<=50K,31-40,School Level
34,Private,Adm-clerical,40,<=50K,31-40,College Level
20,Private,Handlers-cleaners,40,<=50K,17-20,College Level
38,Private,Exec-managerial,40,<=50K,31-40,College Level
28,Private,Other-service,40,<=50K,21-30,Associate
20,Self-emp-not-inc,Transport-moving,45,<=50K,17-20,School Level
22,Federal-gov,Tech-support,8,<=50K,21-30,College Level
55,Private,Adm-clerical,73,<=50K,51-60,College Level
20,Private,Prof-specialty,35,<=50K,17-20,College Level
26,Private,Prof-specialty,40,<=50K,21-30,College Level
20,Self-emp-inc,Farming-fishing,70,<=50K,17-20,School Level
40,Private,Other-service,40,<=50K,31-40,School Level
33,Private,Sales,50,>50K,31-40,School Level
24,Private,Sales,40,<=50K,21-30,School Level
25,Private,Exec-managerial,46,<=50K,21-30,College Level
18,Private,Other-service,8,<=50K,17-20,School Level
49,Self-emp-not-inc,Craft-repair,60,<=50K,41-50,School Level
17,Private,Handlers-cleaners,17,<=50K,,School Level
34,Self-emp-not-inc,Craft-repair,45,<=50K,31-40,Associate
37,Private,Prof-specialty,45,>50K,31-40,College Level
49,Federal-gov,Exec-managerial,40,>50K,41-50,College Level
37,Private,Farming-fishing,40,<=50K,31-40,School Level
40,Private,Exec-managerial,35,>50K,31-40,School Level
44,Private,Adm-clerical,40,<=50K,41-50,School Level
40,Private,Other-service,32,<=50K,31-40,School Level
58,Private,Sales,40,<=50K,51-60,School Level
44,Private,Craft-repair,40,<=50K,41-50,School Level
42,Private,Sales,25,>50K,41-50,College Level
39,Private,Other-service,18,<=50K,31-40,School Level
19,Private,Other-service,40,<=50K,17-20,School Level
29,State-gov,Prof-specialty,40,<=50K,21-30,Masters
34,Federal-gov,Craft-repair,40,<=50K,31-40,College Level
54,Private,Craft-repair,48,<=50K,51-60,College Level
40,Private,Machine-op-inspct,37,<=50K,31-40,School Level
19,Private,Sales,25,<=50K,17-20,College Level
33,Private,Sales,52,<=50K,31-40,College Level
80,Private,Other-service,24,<=50K,71-80,School Level
24,Self-emp-not-inc,Craft-repair,50,<=50K,21-30,School Level
28,Private,Prof-specialty,40,<=50K,21-30,College Level
55,Private,Exec-managerial,30,>50K,51-60,School Level
21,Private,Exec-managerial,40,<=50K,17-20,College Level
51,Private,Adm-clerical,38,<=50K,51-60,School Level
19,Private,Machine-op-inspct,40,<=50K,17-20,School Level
42,Private,Other-service,24,<=50K,41-50,School Level
60,Self-emp-not-inc,Exec-managerial,48,<=50K,51-60,School Level
51,Private,Adm-clerical,40,<=50K,51-60,School Level
21,Private,Other-service,40,<=50K,17-20,College Level
37,State-gov,Craft-repair,40,<=50K,31-40,College Level
26,Private,Machine-op-inspct,52,<=50K,21-30,School Level
40,Private,Handlers-cleaners,40,<=50K,31-40,College Level
55,Private,Prof-specialty,40,>50K,51-60,Masters
33,Private,Other-service,32,<=50K,31-40,School Level
47,Private,Sales,30,<=50K,41-50,School Level
26,Private,Sales,51,<=50K,21-30,School Level
59,Private,Adm-clerical,20,<=50K,51-60,School Level
70,Local-gov,Adm-clerical,17,<=50K,61-70,College Level
26,Private,Adm-clerical,20,<=50K,21-30,College Level
47,Private,Sales,65,<=50K,41-50,School Level
25,Private,Exec-managerial,43,<=50K,21-30,Masters
46,Private,Craft-repair,40,<=50K,41-50,School Level
67,Private,Transport-moving,20,<=50K,61-70,School Level
34,Private,Exec-managerial,50,>50K,31-40,Masters
22,Private,Adm-clerical,35,<=50K,21-30,College Level
39,Local-gov,Adm-clerical,42,<=50K,31-40,School Level
54,Self-emp-not-inc,Craft-repair,35,<=50K,51-60,School Level
24,Private,Sales,40,<=50K,21-30,College Level
37,Private,Prof-specialty,38,<=50K,31-40,School Level
41,Local-gov,Prof-specialty,40,<=50K,41-50,Masters
36,Private,Transport-moving,33,<=50K,31-40,School Level
39,Private,Prof-specialty,40,<=50K,31-40,College Level
26,Private,Sales,45,<=50K,21-30,College Level
37,Self-emp-not-inc,Prof-specialty,55,>50K,31-40,College Level
43,Private,Exec-managerial,50,>50K,41-50,College Level
54,Federal-gov,Prof-specialty,40,>50K,51-60,School Level
53,Self-emp-inc,Sales,40,>50K,51-60,School Level
57,Local-gov,Prof-specialty,60,<=50K,51-60,Masters
28,Private,Prof-specialty,40,>50K,21-30,College Level
29,Private,Other-service,40,<=50K,21-30,College Level
21,Private,Sales,40,<=50K,17-20,School Level
51,Private,Craft-repair,40,<=50K,51-60,School Level
46,State-gov,Transport-moving,40,<=50K,41-50,School Level
50,Self-emp-inc,Prof-specialty,75,>50K,41-50,College Level
50,Self-emp-not-inc,Exec-managerial,48,<=50K,41-50,School Level
36,Private,Exec-managerial,40,<=50K,31-40,School Level
31,Local-gov,Prof-specialty,40,<=50K,31-40,College Level
20,Private,Adm-clerical,10,<=50K,17-20,School Level
36,Private,Handlers-cleaners,40,<=50K,31-40,School Level
38,Private,Craft-repair,40,<=50K,31-40,School Level
37,Private,Craft-repair,45,>50K,31-40,College Level
18,Private,Farming-fishing,36,<=50K,17-20,School Level
33,Private,Sales,50,<=50K,31-40,School Level
23,Private,Handlers-cleaners,40,<=50K,21-30,College Level
37,Private,Other-service,36,<=50K,31-40,College Level
25,Private,Other-service,30,<=50K,21-30,School Level
51,Federal-gov,Tech-support,40,<=50K,51-60,Associate
35,Private,Craft-repair,40,<=50K,31-40,School Level
54,Private,Machine-op-inspct,40,<=50K,51-60,School Level
32,Private,Other-service,13,<=50K,31-40,School Level
37,Self-emp-not-inc,Protective-serv,55,>50K,31-40,College Level
29,Private,Sales,40,>50K,21-30,College Level
45,Private,Handlers-cleaners,37,<=50K,41-50,College Level
61,Self-emp-inc,Sales,40,<=50K,61-70,College Level
40,Private,Adm-clerical,40,<=50K,31-40,College Level
24,Private,Transport-moving,49,<=50K,21-30,School Level
49,Private,Machine-op-inspct,38,<=50K,41-50,School Level
34,Private,Transport-moving,40,<=50K,31-40,School Level
20,Private,Sales,40,<=50K,17-20,College Level
30,Private,Adm-clerical,37,<=50K,21-30,College Level
26,Private,Sales,40,<=50K,21-30,College Level
63,Private,Adm-clerical,45,<=50K,61-70,School Level
36,Private,Transport-moving,55,<=50K,31-40,Associate
63,Self-emp-not-inc,Prof-specialty,40,>50K,61-70,College Level
22,Private,Adm-clerical,10,<=50K,21-30,School Level
40,Private,Sales,40,>50K,31-40,School Level
31,Private,Adm-clerical,35,<=50K,31-40,School Level
49,Private,Craft-repair,50,<=50K,41-50,College Level
23,State-gov,Prof-specialty,20,<=50K,21-30,College Level
28,Private,Craft-repair,45,>50K,21-30,College Level
33,Private,Transport-moving,40,<=50K,31-40,School Level
61,Private,Machine-op-inspct,40,<=50K,61-70,School Level
53,Private,Adm-clerical,40,<=50K,51-60,School Level
26,Local-gov,Protective-serv,45,>50K,21-30,Associate
48,Private,Sales,50,>50K,41-50,College Level
28,State-gov,Exec-managerial,50,>50K,21-30,Masters
29,Private,Handlers-cleaners,45,<=50K,21-30,School Level
25,Private,Tech-support,40,<=50K,21-30,College Level
37,Private,Transport-moving,40,<=50K,31-40,School Level
43,Local-gov,Prof-specialty,55,<=50K,41-50,College Level
40,Local-gov,Transport-moving,40,<=50K,31-40,School Level
34,Private,Craft-repair,45,>50K,31-40,School Level
31,Local-gov,Tech-support,20,<=50K,31-40,Associate
32,Self-emp-not-inc,Farming-fishing,40,<=50K,31-40,School Level
26,Private,Prof-specialty,50,>50K,21-30,College Level
44,Private,Transport-moving,40,<=50K,41-50,College Level
49,Private,Transport-moving,52,>50K,41-50,School Level
26,Private,Adm-clerical,30,<=50K,21-30,School Level
40,Self-emp-not-inc,Farming-fishing,60,<=50K,31-40,School Level
19,Self-emp-not-inc,Adm-clerical,40,<=50K,17-20,School Level
58,Private,Farming-fishing,40,<=50K,51-60,School Level
61,Private,Tech-support,40,>50K,61-70,Associate
28,Self-emp-not-inc,Sales,63,<=50K,21-30,College Level
26,Private,Farming-fishing,40,<=50K,21-30,College Level
64,Private,Adm-clerical,25,<=50K,61-70,School Level
42,Self-emp-inc,Exec-managerial,60,>50K,41-50,College Level
41,Private,Tech-support,40,>50K,41-50,College Level
45,Private,Handlers-cleaners,40,<=50K,41-50,School Level
39,Private,Sales,50,>50K,31-40,College Level
41,Local-gov,Other-service,40,<=50K,41-50,School Level
51,Private,Other-service,40,<=50K,51-60,School Level
34,Private,Adm-clerical,40,<=50K,31-40,Associate
35,Self-emp-not-inc,Craft-repair,60,<=50K,31-40,College Level
41,Private,Priv-house-serv,25,<=50K,41-50,School Level
39,Private,Craft-repair,50,<=50K,31-40,Masters
41,Private,Sales,55,<=50K,41-50,College Level
33,Self-emp-inc,Exec-managerial,40,<=50K,31-40,College Level
22,Private,Other-service,40,<=50K,21-30,School Level
25,Private,Machine-op-inspct,40,<=50K,21-30,College Level
77,Self-emp-not-inc,Adm-clerical,20,>50K,71-80,School Level
66,Private,Sales,40,<=50K,61-70,School Level
19,Private,Sales,35,<=50K,17-20,College Level
44,Private,Other-service,38,<=50K,41-50,School Level
28,Private,Sales,50,<=50K,21-30,College Level
33,Private,Sales,50,<=50K,31-40,College Level
44,Private,Other-service,40,<=50K,41-50,School Level
62,Private,Machine-op-inspct,40,<=50K,61-70,School Level
40,Private,Sales,50,>50K,31-40,College Level
41,Private,Other-service,6,<=50K,41-50,School Level
23,Local-gov,Other-service,30,<=50K,21-30,College Level
48,Private,Craft-repair,40,>50K,41-50,School Level
38,Private,Prof-specialty,45,<=50K,31-40,Masters
37,Private,Exec-managerial,50,>50K,31-40,Masters
45,Private,Prof-specialty,55,>50K,41-50,Masters
29,Private,Protective-serv,40,<=50K,21-30,School Level
66,Local-gov,Adm-clerical,25,<=50K,61-70,School Level
19,Private,Other-service,50,<=50K,17-20,School Level
23,Private,Handlers-cleaners,39,<=50K,21-30,School Level
34,Private,Tech-support,40,>50K,31-40,College Level
39,Private,Exec-managerial,45,<=50K,31-40,Masters
33,Self-emp-not-inc,Transport-moving,60,<=50K,31-40,School Level
43,Private,Sales,10,<=50K,41-50,College Level
33,State-gov,Adm-clerical,35,<=50K,31-40,College Level
26,Private,Farming-fishing,30,<=50K,21-30,School Level
46,Private,Sales,36,<=50K,41-50,School Level
38,Private,Craft-repair,40,<=50K,31-40,Associate
90,Private,Craft-repair,40,<=50K,81-90,School Level
72,Self-emp-inc,Exec-managerial,25,>50K,71-80,College Level
20,Private,Adm-clerical,15,<=50K,17-20,School Level
29,Private,Craft-repair,48,<=50K,21-30,School Level
49,Private,Transport-moving,75,<=50K,41-50,School Level
23,Private,Other-service,35,<=50K,21-30,School Level
20,Private,Sales,18,<=50K,17-20,College Level
46,Private,Prof-specialty,40,<=50K,41-50,Associate
33,Private,Prof-specialty,40,>50K,31-40,College Level
24,Private,Sales,55,<=50K,21-30,College Level
49,Private,Craft-repair,45,<=50K,41-50,Associate
54,Private,Transport-moving,65,<=50K,51-60,School Level
31,Self-emp-not-inc,Craft-repair,50,<=50K,31-40,Associate
19,Private,Machine-op-inspct,40,<=50K,17-20,School Level
46,Private,Adm-clerical,40,<=50K,41-50,Associate
43,Private,Prof-specialty,40,<=50K,41-50,College Level
58,Private,Craft-repair,40,<=50K,51-60,School Level
43,Self-emp-not-inc,Sales,45,<=50K,41-50,School Level
21,Federal-gov,Adm-clerical,25,<=50K,17-20,School Level
52,State-gov,Adm-clerical,70,>50K,51-60,Masters
34,Private,Craft-repair,32,>50K,31-40,Associate
28,Private,Handlers-cleaners,40,<=50K,21-30,Associate
34,Private,Transport-moving,40,<=50K,31-40,School Level
29,Private,Machine-op-inspct,40,>50K,21-30,School Level
39,Private,Farming-fishing,65,<=50K,31-40,School Level
49,Private,Machine-op-inspct,35,<=50K,41-50,School Level
35,Private,Craft-repair,50,>50K,31-40,College Level
31,Private,Other-service,20,<=50K,31-40,College Level
18,Private,Handlers-cleaners,30,<=50K,17-20,College Level
43,Private,Sales,40,>50K,41-50,College Level
21,Private,Adm-clerical,40,<=50K,17-20,College Level
58,Private,Adm-clerical,48,<=50K,51-60,School Level
36,Private,Prof-specialty,40,<=50K,31-40,Masters
38,Private,Machine-op-inspct,40,<=50K,31-40,School Level
19,Private,Handlers-cleaners,40,<=50K,17-20,School Level
38,Private,Tech-support,36,<=50K,31-40,Associate
26,Private,Prof-specialty,60,<=50K,21-30,Associate
38,Private,Adm-clerical,16,<=50K,31-40,Associate
36,Private,Craft-repair,45,<=50K,31-40,College Level
40,Private,Exec-managerial,45,>50K,31-40,School Level
41,Private,Tech-support,25,>50K,41-50,College Level
33,Private,Sales,45,<=50K,31-40,School Level
51,Private,Machine-op-inspct,40,<=50K,51-60,School Level
34,Private,Sales,40,<=50K,31-40,School Level
33,Private,Sales,40,<=50K,31-40,Associate
25,Private,Craft-repair,45,<=50K,21-30,School Level
30,Self-emp-not-inc,Sales,66,<=50K,21-30,School Level
19,Private,Adm-clerical,25,<=50K,17-20,College Level
47,Private,Exec-managerial,40,>50K,41-50,School Level
26,Private,Adm-clerical,40,<=50K,21-30,College Level
21,State-gov,Other-service,14,<=50K,17-20,College Level
36,Private,Other-service,60,>50K,31-40,School Level
60,Private,Machine-op-inspct,40,<=50K,51-60,School Level
28,Private,Prof-specialty,40,<=50K,21-30,School Level
19,Private,Adm-clerical,14,<=50K,17-20,School Level
36,Private,Machine-op-inspct,36,<=50K,31-40,School Level
35,Private,Other-service,38,<=50K,31-40,School Level
22,Private,Adm-clerical,25,<=50K,21-30,College Level
54,Private,Craft-repair,40,>50K,51-60,School Level
36,Private,Prof-specialty,45,<=50K,31-40,College Level
55,Private,Transport-moving,65,<=50K,51-60,School Level
57,Private,Adm-clerical,40,<=50K,51-60,Masters
56,Private,Transport-moving,36,<=50K,51-60,School Level
24,Private,Exec-managerial,50,<=50K,21-30,School Level
35,Local-gov,Prof-specialty,40,>50K,31-40,College Level
51,Self-emp-inc,Sales,40,<=50K,51-60,School Level
34,Private,Exec-managerial,44,<=50K,31-40,School Level
36,Private,Adm-clerical,42,<=50K,31-40,Associate
51,Local-gov,Other-service,40,<=50K,51-60,School Level
46,Self-emp-inc,Prof-specialty,60,>50K,41-50,Masters
25,State-gov,Prof-specialty,40,<=50K,21-30,College Level
22,Private,Handlers-cleaners,50,<=50K,21-30,School Level
37,Private,Craft-repair,40,<=50K,31-40,School Level
48,Private,Sales,40,>50K,41-50,College Level
40,Private,Transport-moving,40,<=50K,31-40,School Level
58,Self-emp-inc,Exec-managerial,20,>50K,51-60,School Level
52,Private,Farming-fishing,20,<=50K,51-60,School Level
18,Private,Other-service,20,<=50K,17-20,School Level
27,Private,Machine-op-inspct,40,<=50K,21-30,School Level
63,Private,Craft-repair,16,<=50K,61-70,School Level
38,Self-emp-not-inc,Craft-repair,60,<=50K,31-40,School Level
40,Self-emp-not-inc,Prof-specialty,60,<=50K,31-40,College Level
41,Private,Exec-managerial,40,<=50K,41-50,School Level
32,Private,Craft-repair,55,>50K,31-40,Associate
30,Private,Handlers-cleaners,72,<=50K,21-30,School Level
28,Private,Sales,50,<=50K,21-30,College Level
31,Private,Handlers-cleaners,35,<=50K,31-40,School Level
44,State-gov,Prof-specialty,40,>50K,41-50,Masters
22,Private,Farming-fishing,25,<=50K,21-30,College Level
36,Private,Craft-repair,35,<=50K,31-40,Associate
31,Private,Transport-moving,40,<=50K,31-40,School Level
21,Private,Other-service,25,<=50K,17-20,College Level
21,Private,Other-service,15,<=50K,17-20,College Level
75,Self-emp-not-inc,Prof-specialty,48,>50K,71-80,College Level
21,Private,Other-service,24,<=50K,17-20,College Level
81,Private,Sales,15,<=50K,81-90,College Level
54,Self-emp-inc,Other-service,40,<=50K,51-60,School Level
34,Private,Prof-specialty,65,<=50K,31-40,College Level
41,Private,Other-service,45,<=50K,41-50,School Level
24,Private,Machine-op-inspct,40,<=50K,21-30,College Level
20,Private,Adm-clerical,40,<=50K,17-20,School Level
44,Local-gov,Prof-specialty,60,<=50K,41-50,College Level
